sample,Sample_name,Locus,tech,Hash,nReads,rank,kingdom,phylum,class,order,family,genus,species,taxon,MiSeqRun
MC_E,101,BF3,2,35bcbb88b7a1827e9131054759e25603a6ef1e4b,3412,genus,Metazoa,Mollusca,Bivalvia,Myida,Myidae,Mya,NA,Mya,3
MC_E,101,BF3,2,fdc80ae5c5d103b2e88889628d1e88288fe07089,2951,species,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus,Leptocottus armatus,3
MC_E,101,BF3,2,7e7ae42efc9e7b56783c47f09c146656a8e3d3fc,942,genus,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,NA,Cottus,3
MC_E,101,BF3,2,5912de453e37344840868fe7776e6f84659742f2,565,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,Hemigrapsus oregonensis,Hemigrapsus oregonensis,3
MC_E,101,BF3,2,be852773dcb909015503058be361a92ce69848bd,189,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,101,BF3,2,85ae8b995a1c9e5d9f4b6e265538078035f220d2,361,species,Metazoa,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,Ruditapes philippinarum,Ruditapes philippinarum,3
MC_E,101,BF3,2,aee053d6803cdb5a8171495d7b79efae9b68c8f7,458,species,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Zosteraceae,NA,NA,Zosteraceae,3
MC_E,101,BF3,2,4ad6c700ef839622bedc3a38054b9536e8eaf552,23,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,3
MC_E,101,BF3,2,f9bec8a1cda505aef0a4a5a162274b00b387872d,97,genus,Metazoa,Mollusca,Bivalvia,Myida,Myidae,Mya,NA,Mya,3
MC_E,101,BF3,2,4fbc29db0ec34b07a492602fa5bc926278f03216,105,species,Metazoa,Mollusca,Gastropoda,NA,Batillariidae,Batillaria,Batillaria attramentaria,Batillaria attramentaria,3
MC_E,101,BF3,2,69db482581babf8ff2147a5227bbc75b7b812372,15,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,3
MC_E,101,BF3,2,11bc5b4f80a0f346a1cc03a86a26dd4313bff62a,7,species,Metazoa,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,Ruditapes philippinarum,Ruditapes philippinarum,3
MC_E,101,BF3,2,1213612785627a26f9995b9f29b2f7daf628ab3a,24,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,NA,Crangon,3
