MiSeqRun,Sample_name,sample_id,Hash,nReads
5,8,WACO21-503-b,6df4bd768da83d226fabe979d73e851be03b087d,25
5,8,WACO21-503-b,c7561a6747a08160292f786c54f95b06e27dcbf6,16
5,8,WACO21-503-b,5c761d8148c585caed66ba031ad2234de85fd215,71
5,8,WACO21-503-b,db4d5ea719387dc0560cbc991e0a1d83a969d207,70
5,8,WACO21-503-b,2a874f4a6c47ced629c4b018610a4272b592c41a,58
5,8,WACO21-503-b,77fbc770645acd009eed8c99bac37b691b2ca9f7,48
5,8,WACO21-503-b,6119011f16766fd616399049ae598c0e86961528,45
5,8,WACO21-503-b,638ecca39734cba296783a886657887534d649a7,31
5,8,WACO21-503-b,c0220de8376937df56552b5def34a2c592966ebe,44
5,8,WACO21-503-b,81a887ab6a60d49560a94831ab4afd790fe847b7,41
5,8,WACO21-503-b,2c79b99032fa33b230e1df2636c15f5964164807,34
5,8,WACO21-503-b,b0010c467f3c8db62702df0405fe41c8d859f082,29
5,8,WACO21-503-b,0d1b0a9f0d80ae5223fc1bc6d0b50000c445ab7f,22
5,8,WACO21-503-b,795175b665984eb0a81a07974928b0aafe6de028,20
5,8,WACO21-503-b,8e9bfb08f21cfaec1698008a55c0b92e0e3b4ba9,19
5,8,WACO21-503-b,be18c17caa121fe8e202492b09a648e5acde3cc2,19
5,8,WACO21-503-b,30ff3ed733becd2dbb658e424969ba89ac061b4c,12
5,8,WACO21-503-b,eaf94c4610704ce11c82b87358663359edb52baf,13
5,8,WACO21-503-b,bef44abe43cd840ae9dc044421c92560288c09fc,13
5,8,WACO21-503-b,ba364988464bf406bdfcb0b57000f84c4c5da0b7,13
5,8,WACO21-503-b,6937d7acf465173caa5e05f7686b33a6d8bec19d,12
5,8,WACO21-503-b,81234b0167ee3e2be0e2925a8710d8cb77fd4771,5
5,8,WACO21-503-b,40ba3440ca0a4f5b9ce95c2dd48fffba48c39ac2,11
5,8,WACO21-503-b,e6a8b498f9ffe7e0c3ee4c099e5ee24afe2d212a,3
5,8,WACO21-503-b,14cc60d99438ab8f1e8fdcd3b1443a70690410d1,7
5,8,WACO21-503-b,648793a7473cf1f88f2fd9b715f2a871779b2499,7
5,8,WACO21-503-b,3fd3fd0b74184bfa06f6a1e87b1b652cd2b768f0,6
5,8,WACO21-503-b,bb580f0c6606e8623b4f83ef86dce7833bfe8134,6
5,8,WACO21-503-b,5bd93a861393e235e83a9fa380ffcceddb2ed752,4
5,8,WACO21-503-b,80ef03bd93a9b2fe62d3b62330965f50e99efb0d,3
5,8,WACO21-503-b,5cec454c0e0feb4b70959d831415dad5888157ee,3
5,8,WACO21-503-b,af640dae0eb5d5a36351027b62d8f4b079d97eb4,2
5,9,WACO21-503-c,81137ad7d09cacd815468d26f7e2c155abfbdeb2,227
5,9,WACO21-503-c,a4641c5c5237012cecb994fbe97a1deb3e320434,1971
5,9,WACO21-503-c,98ec7fd230e438cf5da2ba8467bdc7ceb95a8e2b,345
5,9,WACO21-503-c,1167f4c4381369d51d94db86e497609f02b5ffa1,4212
5,9,WACO21-503-c,2caad416c16993d4addb3a005eb255aff25e0261,1398
5,9,WACO21-503-c,b02749136ff37f34b110cfc0aadf1abbb19ffce4,670
5,9,WACO21-503-c,c0c5e52e340b5b261da67350d7cf6a998da9b4df,413
5,9,WACO21-503-c,4ebb3ac78c88ae37391356ab2c2f6bc4a3de5cf0,309
5,9,WACO21-503-c,f7480017a3bcdb2b55e535639f3312586515a17b,566
5,9,WACO21-503-c,751a2c67e218e234357de0b527e112ffcccfda01,30
5,9,WACO21-503-c,c63f0e8b748edc7c597c1f70786276145d016fcd,6201
5,9,WACO21-503-c,ebd75d373e7c94e4d716391124e17c7f0ff55e15,218
5,9,WACO21-503-c,9e88be0f109a8091c8c5170857a769b494400682,56
5,9,WACO21-503-c,bf85d96f50f17afded2a27dad794261b1e4ef205,38
5,9,WACO21-503-c,ba90715196b6d9b9e996bacb0bed80c74201fbf6,160
5,9,WACO21-503-c,ccbe024e1044d0b7786d219ae11d57184d8e57bf,979
5,9,WACO21-503-c,171648f07c39119e01e765ca0d3928aef16a38ac,75
5,9,WACO21-503-c,d88d9e8539510e6c404c90795803a0495f88c09a,498
5,9,WACO21-503-c,615353d8c93c88d9a9d3dff7ca38a44fe8b35333,33
5,9,WACO21-503-c,303a7a1ad22210dbecf74abe0620e53eb9d6e537,1640
5,9,WACO21-503-c,47ef98fa63b8ffe7143925d5713900912e2e68bf,29
5,9,WACO21-503-c,34493a1787487909a19951995503d5a6daeb7518,125
5,9,WACO21-503-c,5d65faa4e1c63413f1640ce93a9e3bd079abdf92,321
5,9,WACO21-503-c,d9c88bb0769b10c8fd284857c0d6d264507220f5,352
5,9,WACO21-503-c,a149eb2129b3b3314a90010bd86a8ebd493ff135,47
5,9,WACO21-503-c,e0581e086bbe3a7125640f84221a918d42ccee0b,55
5,9,WACO21-503-c,b7ea94e70972878979d83f0fe4813fb72135bb3b,34
5,9,WACO21-503-c,52d7194e03e9da52053aad19db78a268cc6b830e,603
5,9,WACO21-503-c,da78231f8f4f50dfd032ce0d7e15628ce43f852b,1301
5,9,WACO21-503-c,54bffb6b714c7e182f0faea614604ec4abecdb7d,13
5,9,WACO21-503-c,d47bd6e2f8649f2ba09b9995943cb3fb4ac63e89,305
5,9,WACO21-503-c,99a2a573a017afe17812136c6093b42b9ead8187,182
5,9,WACO21-503-c,258d89701126081b83121254457bd550182d045b,29
5,9,WACO21-503-c,312c63fe2e2661af15ec8f5806c4b1b843828018,10
5,9,WACO21-503-c,b71e1ef8a366bab2dd55b70ca10217d7d219bbd3,46
5,9,WACO21-503-c,23eba94b6396b8a33eb64dd833b66a95da487f82,1022
5,9,WACO21-503-c,a76936fb1b06bf5792b7a6463a9cfacd1c85b3e1,41
