MiSeqRun,Sample_name,sample_id,Hash,nReads
4,1,WACO21-639-a,cd4fb44979f0bf86019fd7ab8ed1a0d60cdf93e9,198
4,1,WACO21-639-a,ff410c5738416962d617821e12c53b10d6fb90db,29
4,1,WACO21-639-a,d43a043bd4ce4078c1691a1d2b2a54427fe09701,22
4,1,WACO21-639-a,a45f0c4f5d12e0b035c43b34a0cef139c9654efc,37
4,1,WACO21-639-a,9c4027a1ff065a7e402b35870f123c76da58dd7a,52
4,1,WACO21-639-a,8bd8d9d5a205daef647e8c2c9794ea9effebd3ad,20
4,1,WACO21-639-a,a8c74a9d3f43004268a92ccef4e422542da35ad6,87
4,1,WACO21-639-a,253c648e7d97b15a3289d3849566b36e22a45d6b,44
4,1,WACO21-639-a,ae41de3e4d76e369d3f14b096924a40647222b58,155
4,1,WACO21-639-a,a1838aa9dada31ad691af4a088a8ab9f36db04b4,80
4,1,WACO21-639-a,9accd7af8c778221844f1fbb9379384d95a0c67e,199
4,1,WACO21-639-a,4b37c59c145f54d8f9fef25efd65ac236f8dc1b8,13
4,1,WACO21-639-a,bf85d96f50f17afded2a27dad794261b1e4ef205,10
4,1,WACO21-639-a,1f6acfbd4f2cbb92f9753681361b15d411610979,27
4,1,WACO21-639-a,69edc05353a93a048f71584038b4b7a86b5cd11e,157
4,1,WACO21-639-a,5dbcd2cc5cddf8795bf2eabe51d2e792cdd556ff,157
4,1,WACO21-639-a,bd90a93a6b9def0997d764c83789c515dd72647b,16
4,1,WACO21-639-a,5ea9bc40aab58b5a4c33fa84b2f75d4430421bc9,115
4,1,WACO21-639-a,6851b89b81a141f71bf9a35e36d91801c7a3fb8a,99
4,1,WACO21-639-a,a76936fb1b06bf5792b7a6463a9cfacd1c85b3e1,2
4,1,WACO21-639-a,ffb639584a4a3ada7b2c243c2979d1347425a6fb,83
4,1,WACO21-639-a,59ef6c9618bc08dc658569206f71d6f776b6c32b,60
4,1,WACO21-639-a,010db3c3f5156fbafbf4bf1cf435c8260b0a7f9f,98
4,1,WACO21-639-a,f6d3daac95b864fc46c1223dd4f24336f4768d96,21
4,1,WACO21-639-a,a443778045d464d0203ba31f1713f65fadd10642,91
4,1,WACO21-639-a,4be1e5a3b6a35c2585f4225729155e8b64e2dded,2
4,1,WACO21-639-a,ed3f6cf8c048412665a4db88ff387f2e9844f8e7,26
4,1,WACO21-639-a,23c66107c8a89c24b37b5987cb2f1a7d1165072b,11
4,1,WACO21-639-a,4a52edcc9531e32a82a815031e1cfc6bd564adab,70
4,1,WACO21-639-a,318ff0e66819477a05123273f2f7272521a3b4d1,68
4,1,WACO21-639-a,5afafa65d5f4f9497c3bfae5d5fc57fea98a857b,67
4,1,WACO21-639-a,7cf5039679ba4921d6b6792c528c9567aefded8f,63
4,1,WACO21-639-a,ec9fe93111aff199d0cf7e9176a3efeeb547ceb4,29
4,1,WACO21-639-a,b812ce72cf108aa63c663857d4fee25305f442f3,20
4,1,WACO21-639-a,991fbba1a9700b0745c3fc259ec7a0969ccd951e,26
4,1,WACO21-639-a,3528ddb01517198cd9caa182c2ddcfb2f3343464,58
4,1,WACO21-639-a,7413d60ef0cdeddba41c39d26a2b62d5c7568a14,51
4,1,WACO21-639-a,6963e28d7c7ffb603999d98d376a5fe2fc264ed5,36
4,1,WACO21-639-a,bc7b0491369b1bd755d2582963bccf1c6a960957,57
4,1,WACO21-639-a,8fbdc0ec4e37cb5bf68d1a7ead0b03101796c374,57
4,1,WACO21-639-a,fb720894d244c11976fbdfb5187b9defb64defa2,39
4,1,WACO21-639-a,5a9853c19754de450ec4338e87befc73411e6676,55
4,1,WACO21-639-a,2a3f29e22790c8a24ac50ed88dba96904e538b09,44
4,1,WACO21-639-a,d90083683db2980c326ee66ce5fceef3330332d6,51
4,1,WACO21-639-a,46f0ec5719e481a5829037dbfbbbbe4b3765de86,50
