EGC_ID,Sample_label,CollectionDate,Water Body,Site_Name,CW_mm,Sex
WACO.2021.336,WACO21-336,7/8/2021,Willapa,Nahcotta,66,Male
WACO.2021.337,WACO21-337,7/8/2021,Willapa,Nahcotta,69,Female
WACO.2021.338,WACO21-338,7/8/2021,Willapa,Nahcotta,69,Female
WACO.2021.339,WACO21-339,7/8/2021,Willapa,Long Beach,59,Female
WACO.2021.340,WACO21-340,7/8/2021,Willapa,Long Beach,69,Male
WACO.2021.341,WACO21-341,7/8/2021,Willapa,Long Beach,84,Male
WACO.2021.342,WACO21-342,7/8/2021,Willapa,Long Beach,63,Male
WACO.2021.343,WACO21-343,7/8/2021,Willapa,Long Beach,59,Male
WACO.2021.347,WACO21-347,7/8/2021,Willapa,Long Beach,62,Female
WACO.2021.348,WACO21-348,7/8/2021,Willapa,Long Beach,69,Male
WACO.2021.349,WACO21-349,7/8/2021,Willapa,Long Beach,61,Male
WACO.2021.350,WACO21-350,7/8/2021,Willapa,Long Beach,58,Male
WACO.2021.491,WACO21-491,9/7/2021,Willapa,Long Beach,57,Female
WACO.2021.492,WACO21-492,9/7/2021,Willapa,Nahcotta,57,Male
WACO.2021.493,WACO21-493,9/7/2021,Willapa,Long Beach,63,Male
WACO.2021.494,WACO21-494,9/7/2021,Willapa,Long Beach,65,Female
WACO.2021.495,WACO21-495,9/7/2021,Willapa,Long Beach,62,Male
WACO.2021.496,WACO21-496,9/7/2021,Willapa,Long Beach,79,Male
WACO.2021.497,WACO21-497,9/7/2021,Willapa,Long Beach,63,Male
WACO.2021.498,WACO21-498,9/7/2021,Willapa,Long Beach,59,Female
WACO.2021.499,WACO21-499,9/7/2021,Willapa,Long Beach,54,Male
WACO.2021.500,WACO21-500,9/7/2021,Willapa,Long Beach,72,Male
WACO.2021.501,WACO21-501,9/7/2021,Willapa,Long Beach,69,Male
WACO.2021.502,WACO21-502,9/7/2021,Willapa,Nahcotta,68,Female
WACO.2021.503,WACO21-503,9/7/2021,Willapa,Nahcotta,67,Male
WACO.2021.504,WACO21-504,9/7/2021,Willapa,Nahcotta,74,Male
WACO.2021.505,WACO21-505,9/7/2021,Willapa,Nahcotta,59,Female
WACO.2021.506,WACO21-506,9/7/2021,Willapa,Nahcotta,53,Female
WACO.2021.507,WACO21-507,9/7/2021,Willapa,Nahcotta,68,Female
WACO.2021.508,WACO21-508,9/7/2021,Willapa,Nahcotta,55,Female
WACO.2021.509,WACO21-509,9/7/2021,Willapa,Nahcotta,55,Female
WACO.2021.510,WACO21-510,9/7/2021,Willapa,Nahcotta,60,Male
WACO.2021.511,WACO21-511,9/7/2021,Willapa,Nahcotta,68,Male
WACO.2021.512,WACO21-512,9/7/2021,Willapa,Nahcotta,71,Male
WACO.2021.513,WACO21-513,9/7/2021,Willapa,Nahcotta,61,Female
WACO.2021.514,WACO21-514,9/7/2021,Willapa,Nahcotta,60,Female
WACO.2021.515,WACO21-515,9/7/2021,Willapa,Nahcotta,51,Female
WACO.2021.516,WACO21-516,9/7/2021,Willapa,Nahcotta,55,Female
WACO.2021.517,WACO21-517,9/7/2021,Willapa,Nahcotta,45,Male
WACO.2021.518,WACO21-518,9/7/2021,Willapa,Nahcotta,58,Female
WACO.2021.519,WACO21-519,9/7/2021,Willapa,Nahcotta,46,Male
WACO.2021.520,WACO21-520,9/7/2021,Willapa,Nahcotta,53,Female
